1	9928
2	6092
3	3484
4	7984
5	9899
6	2987
7	10512
8	7006
9	4463
10	4741
11	11574
12	9894
13	4928
14	6556
15	8251
16	8616
17	10792
18	10983
19	6224
20	3949
21	12222
22	12193
23	7741
24	8963
25	13522
26	4726
27	4208
28	5420
29	7263
30	3207
31	6876
32	8033
33	5003
34	5696
35	9862
36	5214
37	12099
38	4877
39	8997
40	10534
41	8235
42	5671
43	7703
44	5661
45	7783
48	7875
50	5269
51	15411
53	15189
54	9647
55	9225
56	5809
57	5812
58	7936
59	6508
60	7770
61	7548
62	10092
63	9840
64	20973
67	23095
68	5270
69	5052
72	4823
74	6146
75	8739
76	7648
77	9471
78	7092
79	7215
80	7176
81	18097
82	4389
83	3913
84	6557
85	5781
86	9111
89	12625
90	7767
91	7099
92	14365
96	6226
98	8946
99	14621
101	4640
102	7723
103	13409
104	12201
105	12639
106	10173
107	11330
110	6611
111	11731
112	8632
113	6230
114	10112
115	4745
117	7828
119	10120
120	7163
121	9197
122	11317
126	6007
127	5082
131	10462
133	7074
134	5916
136	3442
143	8020
150	9121
154	7045
157	24616
161	7644
163	3951
201	11079
202	14514
203	7825
222	19974
223	7709
236	20665
238	16711
240	3003
245	15000
254	9315
266	5501
267	10698
268	8718
412	22549
420	6502
421	6190
427	2002
429	8265
432	10539
